D88,D27,D14,D33,D36,D45,D57,D63,D54
176.0871,92.5768,-0.4166,-177.7563,-166.0199,-165.967,-70.4626,-50.0329,-153.0346
172.1947,92.9025,0.0554,-179.745,-64.3798,-166.0409,-89.3577,163.5999,155.336
-179.877,86.6615,178.0686,-177.123,-167.3153,-170.9227,165.7224,161.894,156.1893
-176.2482,-91.492,21.9731,-103.2186,-166.175,65.4228,159.3627,160.3011,-160.2704
-176.7151,-92.4979,-0.1212,179.5069,71.3853,-58.5702,-166.7704,68.6299,-173.8335
-178.4558,-92.2253,-1.0261,-178.5727,-170.0999,64.5851,151.2968,-72.0871,-163.9454
-174.9075,-92.277,1.052,176.7616,62.4997,57.1693,70.2093,-79.4188,54.3425
-176.2734,86.2547,-179.301,179.9824,57.812,64.7509,-166.5745,-56.7898,176.1474
-173.1125,-90.9305,-26.8898,104.4212,54.4012,-64.1434,-78.0866,166.7832,176.9765
-175.09,86.0532,177.8966,-176.3036,177.5273,-177.0902,-70.7899,164.1087,-52.5421
178.7439,86.8924,-179.9286,179.3527,55.7634,164.8099,162.4839,62.0047,-68.4218
-179.3559,-87.8191,-178.3062,81.1348,-161.2677,70.6097,-167.2442,-55.4738,-168.6238
-175.697,-91.866,31.5513,-110.1907,-179.8817,164.1984,-91.9281,163.7093,-67.2977
179.7445,92.0653,2.4663,175.8913,62.5343,57.2261,70.2245,-79.655,53.5984
171.0979,92.2439,0.8224,-82.5243,-61.6298,163.3105,79.8382,68.6862,71.7887
173.7224,92.4617,1.4168,179.7441,57.639,64.6753,-167.0461,-56.6293,176.5607
-175.9253,87.0875,154.5034,103.5149,48.5742,-174.8454,-63.8974,91.1092,165.7585
-177.0843,87.1216,178.0711,85.6935,174.2471,-43.7116,-111.2892,79.77,-38.6985
-176.7623,-91.9129,-4.4817,88.7683,170.1644,64.8033,82.5518,155.5126,-44.1849
-175.9342,-92.2068,-3.479,-175.4058,-66.363,-70.5026,122.3916,166.0816,-65.2224
-172.9145,-90.9198,-30.1954,98.0968,35.6638,51.8799,164.2654,160.1903,-75.6007
173.458,-85.9828,179.1964,-177.6763,-62.1732,-82.4055,133.9941,-69.8655,81.4233
-172.895,-91.2328,-22.9749,99.7272,39.5489,54.2312,159.9617,-72.9957,178.5064
177.0423,92.3923,1.4189,-83.0224,-69.0868,-54.561,-88.1761,166.2137,-178.402
-174.2664,87.0021,-149.5374,-111.2684,179.9083,165.8534,169.6347,-70.2981,-64.7284
-175.7916,-92.7337,-1.965,-175.7126,177.4123,89.2225,-69.8792,98.2933,-47.343
175.0554,-87.1601,-158.8574,-101.6776,-160.5522,64.6728,-179.5749,74.0224,-171.0273
179.0253,91.6559,-1.7312,86.8986,174.9328,170.5613,172.6127,-69.6619,-48.564
-178.7233,-87.2813,-177.1213,-84.1122,-58.5758,-63.4263,96.65,78.3653,-62.9092
-172.6729,85.8078,-178.6269,-82.6843,-61.4786,163.9901,80.4377,68.8248,72.0911
-173.7246,87.3345,-152.2597,-113.68,176.2527,-62.5719,-175.3321,164.6081,-54.5406
-171.1177,-91.0242,-28.4643,102.4118,46.8121,-169.5245,159.6123,62.5846,154.1153
-172.9095,-92.8271,-1.7214,-177.6762,-69.7229,66.9013,92.9467,-56.6339,178.8124
179.2384,91.5638,-1.919,86.929,171.7371,90.1709,-66.9207,174.0006,-43.9861
-172.1459,-92.8614,-2.057,-176.6094,-61.8298,-82.2158,134.2122,-70.0094,81.1329
-175.6331,-92.6896,-1.6253,-177.2897,-166.1321,-165.7221,-70.6424,-50.4309,-150.991
177.7099,-90.9871,28.0692,-99.3102,-150.9359,62.3719,-179.1047,74.8559,72.3403
172.8508,-87.6224,-80.2014,-81.4568,-65.6133,69.3082,173.6572,-70.287,-70.0869
-179.5955,91.4257,5.0419,78.8301,-168.9182,-48.3409,-83.8452,165.9275,-167.1866
178.6577,-91.3963,-1.1907,-82.5349,-63.1512,-176.2864,-92.1498,-70.1641,-76.4643
174.6841,-87.2977,158.5596,102.0574,52.8936,65.6266,-161.9018,172.9672,172.4266
-174.8982,-92.5563,1.0857,178.4654,-91.1954,48.2837,75.1088,63.6264,72.7612
171.9963,92.9587,-1.3109,-177.7156,-70.3345,66.5548,92.4768,-56.7205,177.8154
174.8101,-87.2351,-158.7679,-101.6022,-160.3977,65.1992,-172.0986,-57.0644,-170.8618
175.2064,-87.7186,-151.5592,-100.5841,-152.0494,62.5868,-178.9904,74.9255,72.3065
175.7312,92.2571,1.9817,178.1723,-91.633,48.1619,75.2488,63.3181,73.0934
-172.2879,85.9472,-179.389,-82.783,-58.6347,-73.9878,-152.8526,172.6442,90.353
-177.4647,-87.915,-178.4866,-83.5151,-63.1173,-176.6194,-92.6528,-70.5212,-75.3527
-173.942,86.1732,-179.3217,177.0518,65.3541,160.6027,70.5424,-83.7607,53.262
-172.2241,-92.4899,2.3012,176.1489,-90.4782,46.3796,177.039,-61.5732,-71.9522
-173.9823,86.0268,179.764,-82.4658,-56.3435,-82.358,69.6374,56.0777,76.3791
174.1483,92.8225,-1.5001,-176.366,175.762,156.7526,67.9525,-80.3158,-50.6492
177.1838,-86.3434,-178.0403,176.5797,65.2087,160.2925,70.371,-83.4912,52.7395
-178.7303,-87.9926,152.5362,97.1246,35.2417,52.3594,159.2027,61.107,-76.0993
172.5991,-86.0852,-176.364,-83.8156,-62.6026,70.6546,175.0211,-68.5196,72.7153
175.0763,-86.1053,-179.1775,-179.8581,-62.8245,164.3074,81.8424,134.9183,80.1458
174.3488,-91.2848,2.1994,80.448,-168.8889,-48.0682,-83.5529,166.1263,-169.2809
176.9007,-86.08,-178.2094,178.1187,54.9964,-172.0549,-65.1292,-45.9187,176.8494
171.8313,-90.8055,0.4027,82.1317,-161.6102,70.8087,-166.7976,-55.4262,-170.4036
-178.8125,-91.9924,-1.8752,-79.4397,-91.0979,48.5414,172.2494,71.1302,-76.5214
172.536,-85.6981,-177.6497,177.2088,-90.4315,50.946,173.3192,-63.1204,176.0624
-179.799,87.2937,176.278,87.611,171.258,90.0652,-66.663,174.109,-42.5328
174.9111,92.4957,-1.499,-176.5447,174.9421,149.4951,78.0438,-86.27,-51.5508
174.1933,-86.3619,179.1598,-177.0126,177.909,176.0433,175.9193,-60.2533,-55.42
-177.3467,-92.0061,-2.4857,-176.0268,175.1205,149.5395,77.9597,-86.3318,-51.0651
-173.3409,-92.6847,1.1435,176.8525,64.0142,151.1276,78.6803,-88.3866,53.9344
173.199,92.9332,2.8704,175.7257,-91.0513,46.281,177.9914,-61.2911,-72.0458
-175.6774,-92.4627,-2.5474,-175.8779,175.9411,156.855,67.9444,-80.4411,-50.1879
175.9058,90.9654,22.0359,-101.8343,-162.5607,63.3417,107.0074,169.0272,-167.6235
177.7238,88.161,-153.5591,-98.8027,-150.5445,62.6507,-169.0003,172.8854,71.997
173.7432,92.7246,3.1191,-85.2236,-64.766,-169.0375,163.0102,-70.6059,155.5219
-171.5292,86.062,178.3797,179.263,-63.7502,-49.2161,-123.4865,-60.2703,-64.5794
-174.2672,-91.0647,-24.1889,100.532,37.7297,53.123,58.6023,65.1359,171.1699
172.8209,-86.3402,155.7482,106.516,58.4171,61.6475,-94.235,160.088,68.7973
-179.2605,-88.0291,157.2951,104.0462,66.4902,-60.9276,-158.2043,167.9858,-176.5845
174.0809,-86.1582,-178.2874,176.2677,63.7451,151.0587,78.4528,-88.3228,53.4428
-179.6329,-91.9126,-1.1097,-82.2112,-65.4881,-55.4403,-92.9104,164.1792,-62.7904
179.0846,92.2163,0.4963,179.5313,-62.0149,-52.3671,-73.5152,95.024,-66.4239
-171.9232,85.8625,-176.0132,-84.468,-63.493,70.6344,175.5124,-68.2097,73.4841
173.4696,-85.9198,178.5694,-176.6893,-61.8358,-80.7679,133.4115,164.1486,80.7755
175.7406,90.5985,20.8949,-101.0811,-160.1172,65.1121,-168.6403,172.5622,-170.5273
175.0077,-87.1884,-156.7957,-103.3887,-161.6552,66.3291,58.1317,64.6516,-169.3423
175.0089,-88.0008,-152.0049,-100.1436,-151.8061,62.8694,-168.8746,173.0016,72.0222
172.3981,-86.454,159.2184,103.2389,54.5236,56.0271,72.6271,149.3922,71.0887
172.0476,91.9844,-22.9683,99.0041,36.4589,53.1591,58.4708,64.9514,168.7898
-178.1938,-87.3745,-178.0623,-83.367,-65.7371,-55.4992,-92.8327,164.0987,-61.5824
-175.1699,-92.3721,-1.5262,-178.5481,-165.8507,64.9163,-168.8515,172.72,-170.2374
-176.974,-91.4936,23.6242,-103.6648,-157.9398,-51.9641,-63.0804,175.1009,-166.3537
175.889,90.8348,21.1698,-101.0205,-160.4372,65.9318,87.7622,72.1571,-169.344
177.6805,-86.3278,179.6372,-179.1435,-167.6387,62.7997,106.8091,-62.785,-167.2713
-171.2331,-93.0712,0.1101,-82.8,-58.3802,-72.8629,-153.0858,78.4193,89.251
-173.0617,86.4083,-159.3374,-104.0261,-175.1652,62.5734,-167.3491,173.2575,-62.6809
-179.0029,86.975,179.984,-82.4745,-60.4512,-49.3225,-122.3985,75.2906,-63.0232
-172.8567,87.5881,157.0665,102.96,53.1566,66.0487,93.3699,72.4248,175.4642
-178.6379,86.7997,179.8677,-82.1466,-53.2235,-44.7584,-151.5314,173.0302,-65.7815
174.9755,-91.7522,2.0419,80.648,-169.6881,-176.2239,90.8805,80.0166,-175.3755
-175.5837,-87.8234,-178.2952,-83.4457,-53.0157,-46.0884,-62.348,175.7331,-66.78
-175.1197,-92.6121,-2.5696,-177.9741,-70.2925,66.9951,92.7932,-56.804,-69.8371
179.0864,-91.6738,4.9697,78.7514,176.0703,-173.4633,-97.4442,-72.1428,53.7584
-175.4575,-92.6901,-2.1819,-176.467,178.0917,176.1189,175.7157,-60.1937,-54.8809
178.5955,91.6309,1.4123,-83.6846,-60.5774,-49.4741,-122.6015,75.3014,-61.6537
176.1965,92.2904,-1.5683,86.4826,173.2841,-70.9851,123.6421,-62.0181,-44.0467
-176.0966,-91.9176,-2.2394,86.6333,172.9055,-71.2792,123.7837,-62.1139,-42.5741
177.2143,92.408,0.8405,179.519,70.8181,-60.1787,-160.6446,-62.4757,-174.1138
-172.4959,87.1465,-154.0859,-110.2562,177.3291,-52.676,-124.1747,-60.1676,-55.7058
177.7417,-86.7531,-152.8877,-109.0472,-177.9957,62.2733,-167.6544,173.2677,-60.9786
-179.4511,-87.0004,-179.1901,-80.6034,-90.3124,48.3448,171.901,71.0911,-74.1552
-177.8897,-92.1939,-1.4316,-179.1232,-167.7513,62.8249,107.1232,-62.7457,-167.2943
174.8496,92.5428,2.6076,177.5113,-86.2034,45.4976,171.5076,-63.5311,73.7296
