10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
-3.948772,-1.056755,0.644670,-4.291197,-0.172447,-0.459538,-4.407190,1.259747,-0.152868,-5.157097,-0.485850,-0.891613,
-4.075356,0.826218,-0.511043,-3.586271,-0.496861,-0.852883,-3.654305,-1.527195,0.187712,-4.072097,-0.832341,-1.681075,
-3.991394,0.758418,1.208039,-4.152343,-0.693554,1.166944,-4.939225,-1.322434,0.083100,-4.566765,-0.974866,2.048605,
-2.949772,-0.474953,-0.972488,-2.720028,0.833865,-0.371656,-3.897276,1.548778,0.147229,-2.256662,1.430964,-1.053459,
4.149000,-0.903601,0.687768,4.125100,0.474275,1.174277,4.637887,1.570821,0.323657,4.643403,0.494443,2.045525,
3.068153,-0.074084,-0.965206,4.078109,-0.717730,-0.142223,5.333981,0.007681,0.076630,4.286146,-1.642348,-0.509466,
3.881814,-0.401875,-0.353989,3.093274,0.773067,-0.043096,3.713861,2.060043,-0.357871,2.801189,0.756949,0.931862,
3.207596,-0.193174,-0.318709,2.916141,0.958548,0.518308,2.662897,2.216916,-0.193013,3.681674,1.102548,1.176656,
3.083753,1.002136,1.014975,4.405633,0.433742,0.816029,4.953007,0.444170,-0.541794,4.403979,-0.510187,1.196288,
3.276104,-0.691712,0.378693,4.125437,0.271929,-0.316038,4.645399,1.377971,0.501959,4.914548,-0.225932,-0.725537,
-4.031671,-1.084991,-0.140167,-4.140264,0.209638,-0.797203,-4.320721,1.381415,0.070908,-4.898850,0.185159,-1.474522,
-3.927113,0.822073,-0.118194,-3.399293,-0.523153,-0.021529,-4.317724,-1.599670,-0.392887,-3.023209,-0.691933,0.909117,
-4.034713,-0.713505,0.815352,-4.230034,0.722066,0.907646,-4.498152,1.471986,-0.322118,-3.458691,1.153824,1.408331,
3.544978,-0.467677,-0.538365,4.459159,0.257516,0.347408,4.478260,1.728895,0.286559,5.405886,-0.080665,0.209430,
-3.469349,-0.121616,0.671487,-4.315859,0.377039,-0.397562,-5.665457,0.762449,0.014975,-4.384054,-0.365697,-1.091072,
-3.857341,-0.341400,0.636581,-4.145627,0.743421,-0.292762,-5.544172,1.189960,-0.385366,-3.574557,1.549260,-0.053444,
-3.792052,-0.164416,-0.394198,-3.381959,0.931813,0.463826,-3.015309,2.199685,-0.161083,-2.666967,0.629229,1.119814,
3.442065,-0.121573,-0.247749,3.969005,0.997112,0.512755,5.350238,1.402869,0.229526,3.358447,1.800998,0.383731,
3.651739,0.510514,0.848169,4.487882,0.049480,-0.245893,5.809220,-0.452739,0.145584,4.621366,0.821774,-0.896929,
3.881886,-0.747468,0.675678,3.979755,0.686064,0.884215,4.124784,1.561218,-0.278462,3.239728,1.014337,1.497368,
3.725654,-1.017369,0.641022,5.064079,-0.585457,0.993113,5.970141,-0.014317,-0.005743,5.019061,0.011172,1.814046,
3.312840,-0.097505,-0.729148,4.762905,-0.170941,-0.542787,5.347672,0.787900,0.405910,5.237873,-0.085575,-1.437575,
