D88,D27,D14,D33,D36,D45,D57,D63,D54
177.4542,-86.9075,178.3346,85.9394,172.255,-57.7738,177.8917,63.7977,-41.9779
-172.1975,85.6146,179.0735,-179.0673,-63.2003,-160.628,-103.5799,-65.4874,155.6953
-171.7933,86.4199,175.8684,87.1488,174.7523,176.1554,179.8416,170.605,-50.9304
174.5761,92.6545,2.6499,175.7859,66.527,175.9802,172.4965,-61.4084,50.3732
-171.8433,-93.2719,-2.0217,-176.8329,-59.506,-75.1629,109.277,71.9564,85.8328
-174.2235,-91.5833,29.6537,-112.7647,175.8975,-61.0803,174.9757,63.1811,-54.9068
171.8002,-87.533,-157.5829,-99.5032,-160.5586,-170.4542,164.7004,161.7717,155.1708
-175.6341,-92.4619,-1.0002,-179.5596,-65.3126,177.4147,174.0477,72.6621,-81.0674
-174.2461,87.3502,-152.8664,-112.7611,175.9072,-61.0764,174.98,63.1687,-54.9238
176.2288,-86.3035,176.7514,86.7117,174.8607,176.06,179.5604,170.4922,-52.7739
-171.8431,-93.2698,-2.0198,-176.8353,-59.5054,-75.1617,109.279,71.958,85.8301
179.298,-86.4987,179.6733,-177.5114,-167.001,-167.4213,-88.3228,163.4401,155.3103
171.8383,-85.892,-176.9745,175.9081,53.3293,-84.2173,-161.6459,-57.0875,98.6376
178.5259,-86.447,-179.4495,179.4204,-65.3431,177.3551,174.2015,72.8379,-81.1202
-175.0623,87.0076,-153.1513,-109.0958,-178.3475,175.843,170.6307,71.8644,-68.2937
-171.7934,86.4199,175.8684,87.1488,174.7522,176.1554,179.8416,170.6049,-50.9304
-175.9634,86.4384,177.3128,86.2847,171.8114,-57.8612,178.0621,63.8558,-40.4385
-175.4498,86.1345,-178.9427,177.4884,53.0707,-168.6591,-88.0369,163.6338,155.3446
-174.9632,86.0144,-179.0808,177.7878,53.6615,-163.5205,-104.0422,67.7976,156.7858
174.7434,-86.0646,-178.1103,177.4658,52.9308,-168.8786,-88.0319,163.6915,155.5536
174.7433,92.681,1.9969,177.4658,52.9308,-168.8786,-88.0319,163.6915,155.5536
177.5671,91.0559,34.1095,-116.4113,174.5458,-60.9863,175.0004,63.1731,-53.3742
-175.9691,86.08,-179.0149,177.3911,52.9332,-171.5604,162.2027,-70.1349,156.5321
177.5698,-87.4908,-148.4612,-116.4117,174.5459,-60.9863,175.0005,63.1732,-53.3741
179.9163,91.7687,-0.6883,-177.5791,-167.165,-163.2252,-104.9994,67.784,157.7757
173.577,92.7884,1.841,177.5801,53.4699,-163.6585,-104.146,67.9286,156.985
174.7377,92.682,1.9969,177.4654,52.9308,-168.8787,-88.0318,163.6917,155.5537
172.1871,92.8436,0.0503,-179.877,-63.5025,-160.2817,-103.3021,-65.4099,155.1322
172.1993,-87.6055,-157.9712,-99.0697,-160.2435,-169.083,159.8093,62.4474,154.8607
176.2311,92.5635,-3.108,86.7182,174.8633,176.0516,179.5599,170.5006,-52.7818
172.2036,92.8426,0.0489,-179.8786,-63.4991,-160.2784,-103.3005,-65.4086,155.1291
174.1829,92.3281,2.1199,178.2952,69.6578,64.2731,-173.8319,76.3281,47.1218
179.2746,-86.5013,179.667,-177.5034,-166.9998,-167.4187,-88.3194,163.4327,155.3043
-172.25,85.6295,179.078,-179.0647,-63.209,-160.6325,-103.5762,-65.4921,155.7009
179.43,86.7887,178.3228,-177.3813,-167.2745,-167.4689,-88.3238,163.4461,155.2791
179.2471,-86.4993,179.6797,-177.5192,-167.0045,-167.4268,-88.3221,163.4369,155.3183
173.4166,92.4676,-29.3591,109.5006,63.241,175.3799,166.696,70.9427,61.4501
173.3986,-86.5664,152.8176,109.5098,63.2512,175.3785,166.6929,70.9409,61.441
176.0959,-86.705,179.2288,85.7666,-176.189,70.2643,-171.4051,76.9187,-50.0222
-179.5941,86.7075,178.4902,-177.7948,-167.3558,-163.3559,-104.9558,67.8611,157.8218
172.1426,-87.5922,-157.9768,-99.0653,-160.2469,-169.0799,159.813,62.4525,154.8556
-172.2204,85.6093,179.0778,-179.0707,-63.2016,-160.6195,-103.5723,-65.49,155.6815
-175.9857,-92.4262,1.2152,177.3959,52.933,-171.5576,162.2055,-70.1408,156.5247
-173.7644,-92.4354,1.5459,178.6501,69.9016,64.2389,-173.3864,76.0755,47.648
173.5248,-85.9741,-178.2797,177.6242,53.4718,-163.6506,-104.1356,67.9461,156.9777
174.2202,-86.328,-177.9341,178.3021,69.6597,64.2751,-173.8273,76.3409,47.1142
174.7367,-86.0623,-178.1105,177.4661,52.931,-168.8786,-88.0318,163.6917,155.5535
-177.6453,86.9934,146.0464,114.6782,65.5538,176.3888,166.8104,71.0431,59.4077
173.2116,-86.4253,178.7697,-175.809,178.567,-49.989,-86.7566,165.7987,-46.2174
-177.6431,86.9918,146.0454,114.6794,65.5545,176.3883,166.8109,71.0426,59.4077
-177.6449,-91.5608,-36.334,114.6795,65.5547,176.3883,166.811,71.0426,59.4077
-174.4972,-92.562,-2.3368,-175.2945,178.9761,-49.5733,-86.3429,165.9952,-45.9248
175.5235,-86.2334,-177.977,177.1288,52.808,-171.6699,162.2709,-70.1758,156.6177
-180.0127,87.1971,177.9799,86.5464,-177.2298,70.1444,-171.1997,76.9634,-48.3309
173.1623,92.3689,-1.666,-175.8117,178.5637,-49.9889,-86.7573,165.7986,-46.228
-175.9041,-92.3803,-0.8538,-179.8285,-65.4338,175.8988,-176.174,171.3767,-81.1027
-172.2835,85.9014,-179.477,178.305,-66.9433,-61.5101,-171.3099,166.5102,-169.7378
-173.7977,86.3287,-178.649,178.6456,69.8966,64.2386,-173.3792,76.0679,47.6595
179.4772,86.7753,178.319,-177.3767,-167.2744,-167.4691,-88.3296,163.4403,155.2848
176.7852,92.4561,0.5145,179.482,-65.5273,175.7341,-176.0781,171.353,-81.133
