D88,D27,D14,D33,D36,D45,D57,D63,D54
171.3058,-85.8884,-177.88,-83.9441,-59.1835,-74.2052,-152.936,172.5567,90.4235
170.7599,91.6488,-27.9869,101.3229,45.0959,-170.7547,164.349,162.0524,153.8159
-173.2518,86.0011,-178.3132,-83.9936,-64.2565,-166.4374,-89.281,163.6542,155.2636
171.1428,93.0535,1.5478,-83.9575,-58.6647,-72.9751,-153.3331,78.3565,89.282
171.171,-85.6464,-177.8711,-83.9526,-58.6775,-72.989,-153.3151,78.36,89.2863
-173.3447,85.7855,-177.7486,176.1394,53.684,-84.1715,-161.6951,-57.035,98.7439
172.2916,92.69,2.8222,-85.1901,-63.3922,-162.0211,-105.6806,67.742,157.4313
174.2057,92.4193,-1.1775,-177.0097,177.9054,176.0483,175.8957,-60.2404,-55.409
174.4648,92.3914,-1.1507,-178.1611,178.6281,63.9667,89.1888,71.53,-49.8079
170.1079,-86.9794,151.78,103.5679,49.9852,-83.06,-159.9919,172.0362,98.8847
-172.8136,86.1017,-178.7087,-83.6187,-62.6761,-161.8917,-105.4711,67.5297,157.3257
-171.1525,87.1818,152.4848,102.426,46.8094,-169.5242,159.6071,62.5802,154.1124
173.6483,-85.7716,-176.1916,-85.4676,-64.3385,-166.2809,-89.1381,163.7665,155.0021
172.9356,-85.5537,-179.2162,-179.5629,-60.7468,-73.9188,-153.9779,-56.2199,90.7107
-173.2603,85.9917,-178.3008,-84.0036,-64.2555,-166.4382,-89.2821,163.6478,155.2676
-174.8522,86.4665,178.1042,-177.738,178.8153,64.2018,89.3693,71.4885,-49.3054
-175.4336,85.9639,178.0215,-176.4771,178.0897,176.1199,175.7293,-60.1956,-54.8721
170.7349,91.6655,-27.9965,101.3252,45.0947,-170.7547,164.3495,162.062,153.8157
-171.8414,-93.2718,-2.0216,-176.8327,-59.5056,-75.1621,109.277,71.9567,85.8324
177.46,91.8702,-1.2985,85.9397,172.2579,-57.7742,177.881,63.7965,-41.9833
173.6448,92.9094,3.3345,-85.4676,-64.3382,-166.2812,-89.1391,163.7654,155.0027
172.9091,-85.5495,-179.214,-179.5643,-60.7408,-73.9165,-153.979,-56.2116,90.7099
172.2906,-85.9903,-176.6699,-85.1901,-63.3922,-162.0212,-105.6806,67.742,157.4314
172.2587,92.7047,2.813,-85.1841,-63.4028,-162.0207,-105.6688,67.7358,157.4218
-172.6285,-92.8134,1.5523,176.6527,66.6766,175.9334,172.4331,-61.4356,50.8475
-173.3431,85.785,-177.7485,176.1393,53.684,-84.1715,-161.6948,-57.0351,98.7438
171.2868,-87.3002,153.3251,101.1555,45.0495,-169.4536,159.381,62.72,153.7667
